,user,text,favorite_count,retweet_count,created_at
88,elonmusk,"@markusreimer v11.3 (single stack) goes to limited beta this week. Probably 11.3.2 before wide release in North America.

Then we adapt for EU roads &amp; submit to regulators. 90% of what we’ve done so far for NA applies WW.",6453,573,2023-02-12 08:53:07+00:00
89,elonmusk,https://t.co/2XEyK6leL0,729452,50315,2023-02-12 08:21:15+00:00
90,elonmusk,@engineers_feed lol,9037,305,2023-02-12 08:03:14+00:00
91,elonmusk,@BillyM2k The giant block lists are problematic. They mess up the recommendation system &amp; create a DDoS vector.,12544,814,2023-02-12 07:56:23+00:00
92,elonmusk,"@TitterTakeover We will transition to using only paid Blue Verified for signals, as otherwise too vulnerable to bot/troll manipulation",6326,430,2023-02-12 07:44:12+00:00
93,elonmusk,@LeahLamarr 🤣,21895,427,2023-02-12 07:06:53+00:00
94,elonmusk,"@MarcusHouse Anecdotally, it wasn’t as loud as expected",5064,214,2023-02-12 06:56:30+00:00
95,elonmusk,"@cb_doge Yes. Advertising also needs to be semantic keyword-based, so it’s contextually relevant. Amazingly, ads shown when doing twitter searches don’t consider the search words! We’re changing that as fast as possible.",2607,218,2023-02-12 06:52:15+00:00
96,elonmusk,[Oversized font &amp; undersized paragraph spacing will be fixed this week],38426,2305,2023-02-12 06:46:55+00:00
97,elonmusk,"Long day at Twitter HQ with eng team

Two significant problems mostly addressed:

1. Fanout service for Following feed was getting overloaded when I tweeted, resulting in up to 95% of my tweets not getting delivered at all. Following is now pulling from search (aka Earlybird).… https://t.co/oMW54chhRz",123900,10031,2023-02-12 06:45:14+00:00
98,elonmusk,@BuckSexton Well-said,9853,531,2023-02-12 06:13:12+00:00
99,elonmusk,@ClownWorld_ True,31677,1231,2023-02-12 06:11:48+00:00
100,elonmusk,@stats_feed Certainly feels that way,8664,322,2023-02-12 05:04:24+00:00
101,elonmusk,Starship Super Heavy https://t.co/DgufvqgWCC,169189,9964,2023-02-12 04:29:17+00:00
102,elonmusk,@alx @zerohedge 🤨,35672,1693,2023-02-12 02:45:36+00:00
103,elonmusk,@JaxMicrowave @tuxlemons @EndWokeness 🤣,2071,116,2023-02-12 02:39:04+00:00
104,elonmusk,@BenFrankzyn @joerogan @SpaceForceDoD 🤣,11145,420,2023-02-12 01:38:11+00:00
105,elonmusk,@disclosetv Extremely concerning,126354,7343,2023-02-12 00:21:15+00:00
106,elonmusk,"@MuskUniversity This is the fundamental reason why Tesla was the first new American car company to reach sustained positive cash flow since Chrysler ~100 years ago.

The product has to be compelling enough to overcome a fundamental cost disadvantage.",15235,940,2023-02-11 23:21:33+00:00
107,elonmusk,@WholeMarsBlog Exactly,6554,360,2023-02-11 22:21:08+00:00
108,elonmusk,@teslaownersSV Great Tesla Solar Roof install!,15439,678,2023-02-11 22:19:45+00:00
109,elonmusk,"@RuaneFootball Periscope does partly live on with Spaces, but no question that we need to bring back an even better version of vine",15800,815,2023-02-11 21:11:01+00:00
110,elonmusk,@EvaFoxU Absolutely!!,16297,647,2023-02-11 20:04:48+00:00
111,elonmusk,@MuskUniversity Consciousness should be thought of as a tiny candle in a vast darkness that could easily go out. We should do anything possible to keep that flame alive.,52494,4912,2023-02-11 19:59:52+00:00
112,elonmusk,Some of the smartest people I know actively believe the press … amazing,476396,52123,2023-02-11 16:00:43+00:00
113,elonmusk,@JDHaltigan WaPo needs a thorough housecleaning,51198,4460,2023-02-11 14:28:12+00:00
114,elonmusk,@LucentEnergy @teslasolarroof Beautiful work!,8698,403,2023-02-11 14:27:09+00:00
115,elonmusk,@esherifftv 😂,6044,231,2023-02-11 14:26:25+00:00
116,elonmusk,This test is at ~50% throttle. Launch attempt next month will be at ~90%. https://t.co/oMrnBIiBjY,71157,5762,2023-02-11 14:19:33+00:00
117,elonmusk,"@cb_doge Yeah, those are great features",6259,349,2023-02-11 13:36:42+00:00
118,elonmusk,@jgebbia 🇯🇵🇯🇵 Great decision by Japan! 🇯🇵🇯🇵,34523,1993,2023-02-10 21:41:02+00:00
119,elonmusk,@Doritos Try out the Doritos pyramid scheme :),13942,708,2023-02-10 21:39:58+00:00
120,elonmusk,@cb_doge @Twitter @mayemusk @Tesla @SpaceX Top change requests and features?,62222,3101,2023-02-10 20:59:41+00:00
121,elonmusk,@cb_doge @Twitter @mayemusk @Tesla @SpaceX 🔥🔥,8074,357,2023-02-10 20:58:55+00:00
122,elonmusk,https://t.co/Q1VvqV5G0i https://t.co/YjGzTgmoJv,38207,3495,2023-02-10 20:55:20+00:00
123,elonmusk,@Hyundai @kevinbacon Press the heart,3804,150,2023-02-10 20:11:40+00:00
124,elonmusk,@TheBabylonBee 🤣,12911,457,2023-02-10 18:19:42+00:00
125,elonmusk,@DriveTeslaca Sigh,20558,681,2023-02-10 18:18:57+00:00
126,elonmusk,https://t.co/DyLoEI0Rps,21319,1411,2023-02-10 18:11:27+00:00
127,elonmusk,@teslaownersSV It will change the look of the roads,65474,2663,2023-02-10 17:41:54+00:00
128,elonmusk,@RiaRevealed Legacy blue checks will be removed soon. Those are the ones that are truly corrupt.,124761,9635,2023-02-10 17:26:46+00:00
129,elonmusk,And making a day in the life videos https://t.co/Rfx2qJTKvp,66489,5209,2023-02-10 17:12:13+00:00
130,elonmusk,@BillyM2k 🤣🤣,17796,643,2023-02-10 17:09:24+00:00
131,elonmusk,"@WholeMarsBlog Yeah, the format is terrible. Update early next week.",22455,1055,2023-02-10 11:37:23+00:00
132,elonmusk,.,273294,17991,2023-02-10 01:57:35+00:00
133,elonmusk,"@CatherinScience I must admit to being congenitally optimistic (SpaceX &amp; Tesla wouldn’t exist otherwise), but I think 5 years is possible and 10 years is highly likely",9398,725,2023-02-09 23:23:11+00:00
134,elonmusk,"One day, Starship will take us to Mars https://t.co/oMrnBIiBjY",128123,11481,2023-02-09 23:12:19+00:00
135,elonmusk,"Team turned off 1 engine just before start &amp; 1 stopped itself, so 31 engines fired overall.

But still enough engines to reach orbit! https://t.co/QYx3oVM4Gw",63098,5736,2023-02-09 21:20:11+00:00
136,elonmusk,Attempting Starship 33 engine static fire https://t.co/FJ3tLsnlck,37389,3311,2023-02-09 21:00:10+00:00
137,elonmusk,@BillyM2k Yes!,11589,522,2023-02-09 20:03:08+00:00
138,elonmusk,"@WholeMarsBlog Too many journalists want to shape your opinion, rather than inform you",181264,20552,2023-02-09 18:47:36+00:00
139,elonmusk,@TrungTPhan It’s legit day 3 at this point,11418,445,2023-02-09 18:22:11+00:00
140,elonmusk,@TrungTPhan 🤣,4412,171,2023-02-09 18:21:23+00:00
141,elonmusk,@B_Morrows Exactly,4108,308,2023-02-09 08:24:24+00:00
142,elonmusk,@Rainmaker1973 That engine performed an incredible number of transformations to match Mach number!,14279,620,2023-02-09 08:17:05+00:00
143,elonmusk,https://t.co/5cgHGSirJd,20043,2339,2023-02-09 07:57:19+00:00
144,elonmusk,Recommendation algorithm should be fixed tomorrow,149961,10638,2023-02-09 07:51:56+00:00
145,elonmusk,The Woke Stasi felt the heat today 🔥,208387,19961,2023-02-09 07:48:10+00:00
146,elonmusk,@BillyM2k @ZubyMusic Multiple internal &amp; external issues simultaneously today. Should be fully back on track later tonight.,8986,1090,2023-02-09 05:03:08+00:00
147,elonmusk,"@JonathanTurley Since he placed many of them there himself, he would indeed not be “surprised” lmao",60066,5798,2023-02-09 04:59:58+00:00
148,elonmusk,@BillyM2k My pet theory is that too much Adderall is making people grumpy 😂 https://t.co/HscbKgPRCP,9034,716,2023-02-09 04:49:54+00:00
149,elonmusk,Twitter has been informed by the Turkish government that access will be reenabled shortly,320163,26065,2023-02-08 23:55:36+00:00
150,elonmusk,@JonathanTurley Very concerning,18149,1189,2023-02-08 20:31:02+00:00
151,elonmusk,@WholeMarsBlog True,19906,619,2023-02-08 19:43:21+00:00
152,elonmusk,@FonsDK We are reaching out to understand more,33268,2398,2023-02-08 19:42:41+00:00
153,elonmusk,@Lukewearechange Not a completely unblemished record,33187,1427,2023-02-08 18:18:12+00:00
154,elonmusk,@charliebilello How times have changed,56282,2175,2023-02-08 18:14:16+00:00
155,elonmusk,@WholeMarsBlog 🤣🤣,4559,190,2023-02-08 18:04:53+00:00
156,elonmusk,@WholeMarsBlog FSD 11.3 is close to limited release. Just drove it through SF &amp; LA yesterday. Probably 11.3.2 is able to go wide.,13711,802,2023-02-08 18:01:31+00:00
157,elonmusk,@farzyness 🤣,13517,412,2023-02-08 08:33:51+00:00
158,elonmusk,@unusual_whales Cracks me up every time 🤣,25742,958,2023-02-08 07:06:29+00:00
159,elonmusk,@engineers_feed Voxel size of the simulation,4344,237,2023-02-08 05:21:10+00:00
160,elonmusk,"@engineers_feed Arguably, the practical limit of pi is the number of digits required to measure radius of the universe in units of Planck length https://t.co/4R8wIL0FzS",15034,1062,2023-02-08 05:20:25+00:00
161,elonmusk,@AutismCapital Plausible,7812,474,2023-02-08 05:08:44+00:00
162,elonmusk,🎯 https://t.co/jL5fjQxTcz,375566,36590,2023-02-08 04:50:51+00:00
163,elonmusk,"Master Plan 3, the path to a fully sustainable energy future for Earth will be presented on March 1. 

The future is bright! https://t.co/11ug0LRlbD",153666,19383,2023-02-08 02:49:44+00:00
164,elonmusk,.,375162,23810,2023-02-08 01:03:17+00:00
165,elonmusk,@iamirishdave @MKBHD 🤣,2386,86,2023-02-07 23:50:38+00:00
166,elonmusk,"@KanekoaTheGreat Wow, Stengel is explicitly saying that GEC is deceiving the American public! That’s what “propaganda” means.

What he forgot to mention is that GEC was used to sway US elections. @DOJPH",36558,8797,2023-02-07 20:40:01+00:00
167,elonmusk,@ggreenwald Based bias,41030,2054,2023-02-07 18:49:29+00:00
168,elonmusk,@venturetwins I am DAN!,3861,319,2023-02-07 17:49:02+00:00
169,elonmusk,@venturetwins !,8669,329,2023-02-07 17:47:17+00:00
170,elonmusk,"Going forward, Twitter will be broadly accepting of different values, rather than trying to impose its own specific values on the world",426840,40828,2023-02-07 17:41:38+00:00
171,elonmusk,@growing_daniel 🤣,4925,178,2023-02-07 17:29:30+00:00
172,elonmusk,"@MattMackowiak @Twitter @DavidSacks This is being fixed. Policy against showing blood in profile pic is being amended to “clearly showing blood without clicking on the profile pic”.

The intent is to avoid people being forced to see gruesome profile pics.",36270,1687,2023-02-07 17:14:59+00:00
173,elonmusk,"@braxton_mccoy @ShitpostGate If they really arrested a kid for that, it’s silly. Hopefully not.",60632,2267,2023-02-07 17:03:38+00:00
174,elonmusk,I feel this one https://t.co/MIzDvpIoWj,50083,3912,2023-02-07 05:25:48+00:00
175,elonmusk,https://t.co/tiPbKP8B77,248948,22554,2023-02-07 05:13:58+00:00
176,elonmusk,@XanderSchiassi @EvaFoxU Good point,1468,83,2023-02-07 05:06:55+00:00
177,elonmusk,@JackBox @jackinthebox My bro and I mostly ate at the Palo Alto Jack in the Box while building Zip2. It was affordable due to some food hygiene issues (subsequently corrected!) and open late at night.,1982,126,2023-02-07 05:05:03+00:00
178,elonmusk,@WallStreetSilv !,3425,195,2023-02-07 04:57:28+00:00
179,elonmusk,Actual base level of Maslow’s hierarchy is lack of wifi,114533,10247,2023-02-07 04:26:34+00:00
180,elonmusk,@TrevMcKendrick Guess people love home improvement,7546,320,2023-02-07 04:17:42+00:00
181,elonmusk,@dogeofficialceo 🤣,10995,348,2023-02-07 03:00:44+00:00
182,elonmusk,@KanekoaTheGreat @mtaibbi @ggreenwald @ShellenbergerMD Of course he’d like it – he created it!,9240,894,2023-02-07 02:38:57+00:00
183,elonmusk,"@GailAlfarATX @ClownWorld_ If that’s satan, we have nothing to worry about",21372,1123,2023-02-07 02:36:36+00:00
